mainParentCategoryId,shopId,shopType,shopName,branchName,phoneNo,phoneNo2,cityId,shopGroupId,altName,businessHours,score,avgPrice,score4,defaultReviewCount,shopPower,code,dishTagStrList,tag
120,74952158,20,Dickies,丰台万达广场店,,,2,74952158,迪凯思|迪凯斯,"周一至周日
10:00-22:00","产品:7.3,环境:7.2,服务:7.3",0,0,6,35,200,,
128,95039733,20,木九十,丰台万达广场店,,,2,95039733,,周一至周日 10:00-22:00,"产品:6.9,环境:6.9,服务:6.9",0,0,1,30,200,,
121,75008513,20,FILA,丰台万达广场店,4008867699,,2,75008513,斐乐,"周一至周日
10:00-22:00","产品:7.0,环境:7.0,服务:6.6",0,0,3,30,200,,
1833,95546560,10,royaltea皇茶,丰台金街店,13161243815,,2,95546560,,"周一至周日
09:30-22:00","口味:7.2,环境:7.2,服务:7.3",17,0,22,35,200,,"服务热情:8,味道赞:6,饮品赞:4"
1833,98598471,10,淇滋补燕窝体验店,,13683159476,,2,98598471,,"周一至周日
10:00-22:00","口味:7.7,环境:7.7,服务:7.7",0,0,4,35,200,,
26085,76881643,20,花儿与海洋,花儿与海洋,56287998,18612727259,2,76881643,,"周一至周日
10:00-22:00","产品:7.9,环境:8.1,服务:7.7",188,0,11,40,200,,
129,98654739,20,多米熊快闪店,,85958477,,2,98654739,,"周一至周日
10:00-22:00","产品:7.1,环境:7.1,服务:7.1",0,0,1,35,200,,
210,93198038,10,肯德基甜品站,丰科万达店,83629986,,2,93198038,,"周一至周日
10:00-22:00","口味:7.0,环境:7.1,服务:6.8",0,0,13,30,200,,
3027,108136813,10,新辣道,,18301233454,,2,108136813,,"周一至周日
10:00-22:00","口味:7.6,环境:7.6,服务:7.7",0,0,8,35,200,,"味道赞:4,服务热情:3"
27810,74950849,70,KidsLand,丰台万达广场店,,,2,4220386,,"周一至周日
10:00-22:00",,0,0,1,35,200,,
1817,102298426,10,云南过桥米线,丰台万达广场店,,,2,102298426,,,"口味:6.9,环境:6.9,服务:6.9",0,0,3,30,200,,
125,74633924,70,欧博尔,丰台万达广场店,18201558994,59467676,2,74633924,,"周一至周日
10:00-22:00",,7092,0,49,30,200,,"服务热情:15,体验很棒:6,环境优雅:3,价格适中:3"
34006,74618296,80,华夏典当行,丰台万达广场店,4008400500,,2,74618296,,"周一至周日
09:00-22:00",,0,0,7,35,200,,服务热情:4
